raw_skill,normalized_skill
Securities Compliance,Securities
GLP cGMP and ICH Guidelines,GLP (Good Laboratory Practices)
debian_linux,Debian Linux
Institute of Workplace and Facilities Management,Facilities Management
Medical Department Staff Supervision,People Management
Music Venues,Music
Consultation with other health care professionals,Healthcare
Bachelor's degree in Computer Science Machine Learning Artificial Intelligence,Computer Science
Principles and practices of primary medical and nursing care,Nursing
Manages work processes,Process Management
Restaurant group,Restaurant
Certified Public Accountant (CPA) or MBA,Business Administration
Probation/Parole Officer,Probation/Parole
Credit and underwriting,Underwriting
Certified dietary manager,Dietary Management
Client Accounting,Accounting
35 years administrative/clerical and customer service experience,Customer Support/Service
Technical Drawing Production,Technical Drawing
Knowledge of environmental support services,Customer Support/Service
Leadership/Lead Role Experience,Leadership
Key Account Relationship Management,Sales Management
Purchasing info records,Purchasing/Procurement
Site engineer supervision,Engineering Management
Creating and Maintaining Database Objects,Database Administration
Lowlevel design documents,Design Document
Cost and Material Estimation,Cost Estimates
app_developer,Software Development
3 Years Teaching Experience (Preferred),Training/Teaching
Significant experience with ERP CRM Content Management Mobile Application and Data Analysis tools,Customer Relationship Management (CRM)
Windows Server 2008+ (Migration Experience +),Windows Server 2008 R2
Warehouse Entries,Warehousing
Food science degree or equivalent,Food Science
pll,PLL (Phase-Locked Loop)
Licensure: Psychologist license,Psychology
Risk Maps,Risk
JAVA Database Connectivity (JDBC),JDBC (Java Database Connectivity)
Bilingual Spanish (Plus),Spanish Language
Proven track record in earlyphase project or product/business development,Business Development
Familiarity with Sarbanes Oxley (SOX) Controls,Sarbanes-Oxley Act (SOX)
MRI Field Service,Magnetic Resonance Imaging (MRI)
Lifting and/or moving up to 20 pounds,Lift/Move 20 Pounds
Legal technology proficiency,Legal
Basic software applications (Word Excel etc),Microsoft Word
Pandemic vaccines,Vaccination
Ability to Multitask and Manage Projects,Multitasking
3DS MAX,Autodesk 3ds Max (fka 3D Studio Max)
3+ Years of Interior Design Experience,Interior Design
Hazardous Waste Reduction,Reduction of Hazardous Substances (RoHS)
Call Center environment,Call Centers
Data evaluation interpretation and reporting experience,Data Analysis
Archaeological Technical Support,Archaeology
Handheld mobile radio units,Mobile Devices
Experience in analyzing clinical trial datasets,Clinical Trial
ARRT certification in RT (R) or MRI OR ARMRIT certification,American Registry of Radiologic Technologists (ARRT)
ARM Monitoring,ARM (Advanced RISC Machine)
Business relationship building skills,Business Skills
Neurological Disorders,Neurology
RN/LPN Work Experience,Licensed Practical Nurse/Licensed Vocational Nurse
Fleet Management System Administration,Fleet Management
Strong Understanding of SEM/PPC Best Practices,Search Engine Marketing (SEM)
Project management programs (Microsoft Project Asana Google Sheets),Project/Program Management
Loan policies and procedures,Loan Policy
Dynamics simulation,Simulation
New manufacturing methods investigation,Manufacturing Methods
ABET Bachelor's Degree,ABET (Accreditation Board for Engineering and Technology)
Microsoft Azure Data Platform,Microsoft Windows Azure
Safe Systems of Work Implementation,Safety/Work Safety
CEM Modeling and Analysis,Analysis Skills
Research and development funding identification,Research & Development (R&D)
Military Financial Workshops,Military
Americans with Disabilities Act Amendments Act (A.D.A.A.A.),Americans with Disabilities Act (ADA)
Marketing Seminars,Marketing
Neonatal ICU,Neonatal Intensive Care Unit (NICU)
accounting policies,Accounting Policies
Strong interpersonal skills to work with crossfunctional and globally distributed teams,Interpersonal Skills
Project Planning Skills,Project Planning
Systems Engineering Application,Systems Engineering
Ability to travel to client/customer locations for onsite/in person interactions as needed,Willing to Travel
Government vehicles,Government
Ability to work and travel to different locations,Willing to Travel
Commercial and Personal Lines Insurance,Insurance
Strong Communicational Skills,Communication Skills
Understanding of state & federal regulations,Federal Laws and Regulations
Ongoing paid industryleading training programs,Training Program
Patient/staff education,Staff Training
VMware environments,VMWare
Land resource management,Resource Management
Planes and/or large drones,Unmanned Aircraft Systems (UAS)
ACCSC Accreditation Standards,Accreditation Standards
Cell phone & internet stipend,Cellular Telephone
Business level Japanese language fluency,Japanese Language
Orthopedic Research,Orthopedics
Clinical license renewal reimbursement,Clinical Competency
Finance role experience,Finance
Leadership and flexibility,Leadership
Solid conductor low voltage cable,Low Voltage (LV)
Experience interfacing with microcontrollers or FPGA computing hardware,Microcontroller
Safety security and environment requirements (SSE),Environmental Regulations
Infection control measures,Infection Control
Breast and Soft Tissue Sarcoma Dissection,Dissection
3+ years of experience in Agile product management,Agile Programming Methodologies
Safe food handling,Food Safety
Physical requirements (prolonged sitting and lifting up to 15 pounds),Physical Demands
Six Sigma Practices,Six Sigma
Multicamera calibration,Calibration
German Language Fluency,German Language
Land Documentation Management,Document Management
24/7 system maintenance,Systems Maintenance
VMware Certified Professional  Data Center Virtualization (VCP),VMWare Certified Professional (VCP)
CLIA Regulations,Regulations
Human Specimen Handling,Sample/Specimen Processing
Warehouse and Fleet Management,Warehousing
Magnet hospital for nursing excellence,Hospital
College diploma or university degree in Environmental Management,Environmental Management
Attention Autism,Autism
Azure Data Factory,Microsoft Windows Azure
LCSW LPC or LCP,Licensed Clinical Social Worker (LCSW)
Cultural responsive and appropriate medical care,Patient Care
Current and valid registration as a professional nurse,Nursing
ERP Conversion,ERP (Enterprise Resource Planning)
Mold Repair Shops,Maintenance Services
Private Banking,Private Banking
Execution of Company policies,Corporate Policies
Spectre Circuit Simulator,Circuit Simulation
Diagnostic imaging technologies,Medical Imaging
Excellent time management and task prioritization,Time Management
Paid Hemodialysis Training,Hemodialysis
Answering phone calls,Telephone Skills
Years of Previous Sales Experience (Preferred),Sales
Chief of Homelessness Prevention Officer,Homeless Services
Master Electrician's license,Electricity
Patient medical records,Medical Records
Retail Ready Packaging,Product Packaging
Paper Machine Operations,Machining Operations
PCI & Post Spine Care,PCI
Familiarity with Construction Documents,Construction Document Set
Clinical guidance to physiotherapy team members,Clinical Practices/Protocols
CrossFunctional Matrix Organization,Matrix Management
process_outsourcing,Outsourcing
RFID transponders,Transponder
Tennessee Professional Engineer (PE) license,Professional Engineer
Illinois Department of Human ServicesDivision of Alcoholism and Substance Abuse Rules and Regulations,Regulations
Bachelor's degree in Information Systems Computer,Information Technology & Information Systems
Juniper Session Smart Router (SSR),Juniper Routers
Signal processing techniques,Signal Processing
PCB Schematics and Layouts,Schematics
Media or Entertainment industry background,Entertainment and Media
Active and unrestricted licensure as a Registered Nurse (RN),Registered Nurse (RN)
Healthcare Finance Operations,Healthcare
Valid Covid19 Vaccination Certificate or Covid19 vaccine medical contraindication exemption,Vaccination
Budgeting tools,Budgeting Software
Strong understanding of customer needs and market dynamics in Food Industry,Food and Beverage Industry
Data entry and scanning,Data Entry
CompTIA ITF+ certification,CompTIA - Computing Technology Industry Association
B2B Saas,Software as a Service (SaaS)
QC lab operations,Laboratory Operations
Order to Cash Procure to Pay Record to Report Fix Asset Cash management Projects,Order to Cash
Fleet Management Policy and Procedures Manual,Fleet Management
Continuous Improvement Process Development,Continuous Improvement
Chemical Request Process,Chemical Processes
Purchasing strategy creation,Purchasing/Procurement
Funding Entities,Funding
Internal EHS Audit,Internal Audit
12 months Restaurant Management experience,Restaurant
One to Two (12) years Leadership experience,Leadership
Print production processes and specifications,Printing
Author  checker  approver,Writing Skills
Maryland real estate sales license,Real Estate Sales
Pediatric rehabilitation hospital,Pediatrics
Networking protocols security and best practices,Best Practices
Electrical site safety audits,Electricity
Open heart and interventional cardiology,Cardiology
Asphalt and Concrete Testing,Concrete
State Registered and Licensed Nursing,Registered Nurse (RN)
HVAC Specification Field Sales,HVAC
Patient rights compliance,Patient Rights
Fellowships for various departments,Fellowship
KPI's,Performance Metrics
Driving record (meets DISH safety standards),Driver's License
Travel (2030%),Willing to Travel
Computer proficiency (Windows electronic medical records email elearning intranet Microsoft Word and Excel),Computer Skills
Internal budgets,Budgeting
Truck brokerage,Brokerage
Nursing Profession Improvement,Nursing
Study data collection procedures monitoring,Data Collection
Income tax accounting,Income Tax
Active and valid NJ Registered Nurse license,Registered Nurse (RN)
Last Powers of Attorney,Attorney
Opensource statistical packages,Open Source
Underground mobile maintenance,Equipment Maintenance/Repair
MIS strategic goals,Management of Information Systems/Technology (MIS)
Erie Otters hockey,Hockey
Sales team success monitoring,Sales
Governmental requirements,Government Requirements
HighImpact / LowImpact Analysis,Analysis Skills
SI Engineering,System Integration (SI)
California Registered Professional Engineer (PE) License,Professional Engineer
Associates Degree in Electronics or related field,Electronics
Die cutting,Metal Cutting
Crop analyses/diagnoses,Analysis Skills
Ability to function in a fastpaced retail office environment,Retail
Painted Body Coatings,Painting (Facilities and Maintenance)
GMP / OSHA compliance,OSHA
Personal injury defense experience,Personal Injury
STEM (Science Technology Engineering Math),Mathematics
Private client tax planning,Tax Planning
Inverse multiplexers,Multiplexing
Court writing skills,Writing Skills
Oil Hydraulic Systems,Hydraulic Engineering
Dialysis Charge RN readiness,Dialysis
Travel arrangements and events organization,Event Management
Client satisfaction and complaint handling,Customer Satisfaction
Sign keys in and out under supervision,Fast Food
Multilingual (Chinese),Multilingual
Oregon Radiation Therapist License,Radiation Therapy
Documentation and implementation of physician and nursing orders,Documentation
Move coordinators,Organizational Skills
Accounting Systems Knowledge,Accounting Software
FDA approved COVID19 vaccines,FDA (Food and Drug Administration)
performance tuning,Performance Tuning/Optimization
36 years purchasing experience in support of a Federal prime contract in a CPSR compliant environment,Purchasing/Procurement
ICRA (Infection Control Risk Assessment),Infection Control
FAA A/P license and teaching,Training/Teaching
Ability to obtain a TS/SCI security clearance,Sensitive Compartmented Information (SCI)
Strong interest in finance,Finance
Construction Quality Management (CQM),Quality Management
Shortrange mine planning,Mine Planning
Group Instructor or Personal Training certification,Training/Teaching
Google Professional Cloud Architect Certified,Cloud Architecture
Hotel Casino Operations,Casinos
MCP,MCP - Microsoft Certified Professional
Knowledge: Retail operations processes & policies Basic optics Current store merchandise.,Operations Processes
3+ years of sales and customer service experience,Customer Support/Service
Aftermarket Automotive Parts,Parts Sales
information technology resource optimization,Information Technology & Information Systems
Heavy Equipment Rebuild,Heavy Equipment/Vehicles
Landslide and Slope Stability Evaluations,Stability Analysis
Proficiency in venipuncture or capillary puncture,Phlebotomy
Experience in Go and SQL,SQL (Structured Query Language)
Home care providers,Home Care
Bachelor's/Master's in Exercise Science Physiology or Kinesiology,Exercise Science
Computer document management systems,Document Management
Statistics programming,Statistical Programming Languages
Sterotactic radiation therapy,Radiation Therapy
Classroom supplies management,Training/Teaching
Previous management/supervisory experience,People Management
Companypaid shortterm and longterm disability and life insurance,Life Insurance
Occupational Therapist OT,Occupational Therapy
Associate's Degree in Nursing / Bachelor's Degree in Nursing,Nursing
Clinical Product Knowledge,Medical Products
Staff Management,People Management
The American Nurses Association (ANA),Nursing
HR and Recruitment and,Recruiting/Staffing/Hiring
In Vitro Assays,Assays
Trial recruitment,Recruiting/Staffing/Hiring
Design for prototype manufacturing,Prototyping
Electrical & Electronic,Electricity
Neonatal intensive care,Neonatal Intensive Care Unit (NICU)
Network configuration and compliance monitoring,Network Configuration Management
Sanitation Methods,Sanitation
Bat call analysis software,Analysis Software
R&D context,Research & Development (R&D)
PC workstations,Computer Workstations
Demand Planning Methods,Demand Forecasting/Planning
Masters Degree in Behavioral Health,Behavioral Health
ISO 14001 audits,ISO 14001
Valid PE License in New York,Professional Engineer
Continual improvement skills,Continuous Improvement
Heavy equipment/industrial maintenance technical diploma,Heavy Equipment/Vehicles
Prioritization and task completion,Establish Priorities
Quality control initiatives,Quality Control
Oracle Process Manufacturing (OPM),Oracle Manufacturing Suite
Yoga teaching,Training/Teaching
Construction Staff,Construction
ERWin/ERStudio/Rational,erwin Data Modeler
Medical/surgical aseptic techniques,Asepsis
market data analytics,Data Analysis
Cost and Process Optimization,Process Improvement
Proficient in Microsoft Office Suite (Excel Word PowerPoint),Microsoft Excel
TNCC (May be Required),Trauma-Neuro Intensive Care (TNCC)
Active Directory design,Microsoft Active Directory
Water sports on Galveston Bay,Sports
DEP in Pharmacy Technical Assistance,Pharmacy
ECP community membership,ECP Standards
Allen Bradley SLC500,Allen-Bradley
Financial Modelling Software,Financial Modeling
Material Handling Supervision,Materials Management
CDM Regulations 2007,Regulations
Financial aid packages,Financial Aid
Ability to demonstrate time management skills,Time Management
Bedside Patient Care Experience,Patient Care
COTS Image Software,Commercial Off-the-Shelf (COTS)
Office space management,Office Management
Excellent communication and decision making skills,Communication Skills
Spine injections,Injections
Aged Service Records Management,Records Management
1 Year of PACU Nursing Experience,Nursing
Dental bridges,Dental Ceramics
Graduate of approved school of professional nursing,Nursing Credentials
Occupational health,Occupational Health
Business Systems Product Managers,Business Solutions
Proficient in Microsoft Office Suite or similar software,Microsoft Office
Liquefied Natural Gas (LNG) Facilities,Natural Gas
Integration of software with hardware,Hardware-Software Integration
Oral Surgeon,Oral Surgery
Analog dentistry,Dentistry
Proficiencies in Microsoft Office and webbased software,Microsoft Office
Onsite Troubleshooting,Identify Issues
Nutrition Month,Nutrition
Bachelor's degree in nursing (desirable),Nursing
Field and Office Construction Management,Construction Management
Schedule: Day and nights shifts available; No oncall,On Call
Systems Test Engineer,System Test
Working knowledge of institutional food production techniques/procedures,Food Production
Janitorial cleaning industry knowledge,Custodial Services
Community Outreach Program Knowledge,Community Programs
2years experience driving tractor trailers in the chemical industry,Truck Driver
Software platforms for scheduling ordering inventory and venue management,Inventory Management
Low volume high mix manufacturing,Manufacturing
Technical diploma in nursing,Nursing
Clinical Health Education Programs,Health Education
Ability to work with people with different legal needs,Legal
Experience being the single pointofcontact for a utilityscale solar EPC project,Engineering Procurement and Construction (EPC/EPCC/EPCM)
Strong scientific background in cancer research,Cancer
Sandler Sales training,Sales
Marketing campaigns execution,Marketing Campaign
Sales and Profits Maximization,Sales
Schematics Diagrams,Schematics
Certified Specialist in Sports Dietetics (CSSD),Central Sterile Supplies Department (CSSD)
Clinical Data Standards,Clinical Data
Master's degree in Taxation or Accounting,Tax Accounting
Medication prepour/administration,Medication Administration
GovernmentSponsored Managed Care Programs,Managed Care
Licensed RN in Florida or Compact State,Registered Nurse (RN)
Client/Serverbased IT systems,Information Technology & Information Systems
Maintaining a database,Database Administration
10+ years of experience in software engineering,Software Engineering
Bachelor's Degree in Marketing Journalism or Communications,Journalism
Commercial/Medicaid insurance payors,Medicaid
Cost Efficiency Optimization,Cost Control
Bachelor's Degree in Business Marketing Law,Marketing
Income tax preparation,Income Tax
Bachelor's in accounting/finance,Accounting
Designing and maintaining longhaul data/voice transmission systems,Voice Applications
Contact center software,Call Center Software
Retail/service sales,Retail
Pediatric training,Pediatrics
OSAA Coach Certification,Coaching
One Year Experience in Radiology Technology,Radiology
database system,Database Technology
Life Sciences sector,Biology
Estimating/pricing extra work items,Pricing
Knowledge of Accounting and Inventory Control Computer Systems,Accounting
EMR (Advanced MD),Electronic Medical Records
DoD SkillBridge Internship,United States Department of Defense (DoD)
Medical/Dental/Vision/Prescription Plans,Prescription Drugs
SMB sales,Sales
Business Objects,SAP BusinessObjects
Keyboard and phone work,Keyboards
SAP module,SAP
Degree in health fitness or related field,Fitness
Pricing Tool,Pricing
Submitting and reconciling expense reports,Reconciliation
Knowledge of Regulations Standards and Policies,Regulations
Microsoft Office Suite (Excel Word Adobe PDF),Microsoft Office
PCI/CTO,PCI
Shipping Papers,Shipping Documents
Bachelor's Degree Nursing,Nursing
Securities registration and/or insurance licensing verification,Securities
System Engineering Standard,Systems Engineering
Laboratory equipment and computers,Laboratory Equipment
Internship/Residency accredited by the American Psychological Association,Psychology
Highdose chemotherapy,Chemotherapy
Ability to travel by plane approximately 20%,Willing to Travel
AR/AP accounting,Accounts Payable
speech_writer,Writing Skills
Behavior Analysis Board Certification,Analysis Skills
Participating in problem solving in work organization and workflow,Problem Solving Skills
Commercial Lines Account Manager,Sales Management
Tax Free State,State Tax
Calibration Measurement Specification Requirements (CMRS),Calibration
ISO/IEC 17025:2005,ISO (International Organization for Standardization)
Open source frameworks,Open Source
Endoscopy nursing experience,Endoscopy
Planner Verification Test Analyst,Analysis Skills
Housekeeping Contract Management,Housekeeping/Cleaning
Ability to respond to employee emergency situations,Emergency Response
Investment decision support,Decision Support
Patient chart reviews,Patient Charts
Risk Managed Framework (RMF) compliance,Risk Management
health care analytics,Healthcare
Proforma Invoicing,Billing
Royal Canadian Air Force Wing,Canadian Air Force
Geospatial Analysis Tools,Geospatial Analysis
Cloud native security,Cloud Computing
Bachelor's Degree in Biochemistry or related,Biochemistry
Certificate of Insurance (COI) issuance,Insurance Documentation
Sign language interpreting,Sign Language
Tax law consulting,Tax Regulations
Sarbanes Oxley (SOX),Sarbanes-Oxley Act (SOX)
Pain management tools,Pain Management
OR RHF  Radiology Fluoroscopy,Radiology
Associate's Degree in Electronics Technology or Related Field,Electronics
Education Philosophy Alignment,Philosophy
Social Engineering,Social Engineering
SOX internal control assessments,Sarbanes-Oxley Act (SOX)
Metrology setups,Metrology
Chronic and urgent illnesses treatment,Chronic Disease
CRM Systems Experience,Customer Relationship Management (CRM) Systems
Microbiological Knowledge,Microbiology
Wireless networking,Wireless Communications
3+ Years of Trial and Litigation Paralegal Experience,Litigation
Programmatic process improvements,Process Improvement
Firewall/Routing/Switching Configuration,Firewalls
Disciplinary action in previous employment check,Disciplinary Action
Cardiac surgery experience,Cardiac Surgery
TRAVELLING TO OTHER SITES,Willing to Travel
Advanced Knowledge in Public Safety and Industrial Health Standards,Public Safety
Proficient in the use of MS Office Suite,Microsoft Office
Industry Articles and Publications Review,Industry/Trade Press
Bachelor's Degree in Business or Supply Chain,Supply Chain
NDT experience including magnetic particle liquid penetrant or leak testing (MT PT LT),Nondestructive Testing (NDT)
VMware ESXi enterprise environment support,VMWare ESX/ESXi
